,hardcoal,gas,lignite,nuclear,oil,chp,dsr,biomass,CCGTresmethane,SCGTresmethane,CCGTCCS,SCGTfossil,battery,hydrogen,other
AT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CH,1.888888889,1.0789328,1,1,1.080404568,1,1,1,1,1,1.0789328,1.180400417,1,1,1
CZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
